"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000361337.3",-1.78380846785489,8.42071036053458,-59.0338983507654,2.22098288135302e-09,5.45447830008589e-05,12.5226953442829
"ENST00000370355.3",-1.42424859610995,10.4548043753598,-55.4586480584108,3.20475838735318e-09,5.45447830008589e-05,12.2201130873148
"ENST00000261489.7",-2.20907525426689,8.09120020709111,-53.8699732309944,3.80076531258163e-09,5.45447830008589e-05,11.9110473599279
"ENST00000320031.13",-1.47390660175698,7.71271626954692,-46.3598145497936,9.17060729984319e-09,8.89373070382789e-05,11.1282729340178
"ENST00000340857.4",-3.09481216026922,8.69899899599166,-43.1471121540501,1.39727707564058e-08,0.00010026161656259,10.8741229541457
"ENST00000373218.5",-1.95400094356046,6.98448227370855,-45.4290641098464,1.03288164632289e-08,8.89373070382789e-05,10.6589113226134
"ENST00000367142.5",-1.26334840786421,8.81007755302989,-39.3566851741835,2.39511686193373e-08,0.000100808822644143,10.3625354159885
"ENST00000272542.8",-1.69475607664913,7.77761904712756,-39.5404801685064,2.33061661521337e-08,0.000100808822644143,10.3263784814803
"ENST00000375650.5",1.37855415265214,8.93513438687133,38.926678333855,2.55435335380095e-08,0.000100808822644143,10.2830523161689
"ENST00000272233.6",-2.16262952078282,7.43240886807141,-39.9237404763682,2.20253794477374e-08,0.000100808822644143,10.2547470921129
"ENST00000621914.4",-1.31898583938868,7.84105406397723,-38.2664714303546,2.82359842863871e-08,0.000100808822644143,10.1741517033198
"ENST00000421351.4",-1.53650016436551,7.23373223828328,-38.4243602715025,2.75630432953792e-08,0.000100808822644143,10.0547165651305
"ENST00000359943.8",-2.68518401017265,7.62718858221164,-36.7911044484005,3.55483398098305e-08,0.000100808822644143,9.8579599919248
"ENST00000296129.6",-2.32510864338225,7.65910168400066,-35.8160428597187,4.16033964208095e-08,0.000100808822644143,9.74964007036105
"ENST00000326840.11",-1.16311381559921,9.00249115745471,-35.4562749943787,4.41367003958874e-08,0.000100808822644143,9.69185775809651
"ENST00000366607.5",-1.66679688767058,7.503792082953,-35.1177635546109,4.66864890420023e-08,0.000100808822644143,9.64893838962385
"ENST00000458653.5",2.37543149602319,6.46886764336674,37.3927876018346,3.2326464278606e-08,0.000100808822644143,9.54202352914832
"ENST00000257497.11",-1.15950128546918,8.52659949618688,-34.1067844230521,5.53923455771401e-08,0.000100808822644143,9.51532757964603
"ENST00000430245.5",1.53763022968856,6.9665833824196,33.3834521979626,6.27959288554001e-08,0.000100808822644143,9.28788087751093
"ENST00000406875.8",-1.70436161433405,6.63277257423774,-33.5522957300279,6.09691544900117e-08,0.000100808822644143,9.19507553541277
"ENST00000614556.5",-1.86664878451914,6.99498033045552,-32.8425994562431,6.90937218670095e-08,0.000100808822644143,9.18578159358796
"ENST00000245185.6",-1.88381599033885,6.9118087784874,-32.9806981905997,6.74180741876171e-08,0.000100808822644143,9.18425017405175
"ENST00000239938.5",-2.24671399414876,7.08317625146089,-32.7215537831882,7.0602616381534e-08,0.000100808822644143,9.16385305706036
"ENST00000377482.10",-0.923620656498613,9.24227877749937,-32.8820782397405,6.86097768222542e-08,0.000100808822644143,9.15164733031596
"ENST00000244745.4",-2.51775638765048,6.58664546627307,-33.5411017103131,6.10883255878569e-08,0.000100808822644143,9.09030303619463
"ENST00000379982.8",-2.19145197134567,6.80296092481891,-32.4326294773528,7.43626569754725e-08,0.000100808822644143,9.04710992679584
"ENST00000245960.10",-2.76573028575628,6.97571744165503,-32.2207206194925,7.72696710393402e-08,0.000100808822644143,9.01335165117803
"ENST00000395748.8",-2.02285959832657,6.42330948232441,-33.0044837147745,6.71342883656648e-08,0.000100808822644143,9.01013909906407
"ENST00000336180.7",-2.11606200604681,6.10570139351335,-33.5150770746505,6.13664371323013e-08,0.000100808822644143,8.91699617686714
"ENST00000693505.1",-1.88030918848249,6.80212215996372,-31.4329804731742,8.93066772273666e-08,0.00010990650673494,8.91563907287972
"ENST00000265641.10",-1.71200533635849,6.59855847759972,-31.3720239928252,9.03262763595713e-08,0.00010990650673494,8.8611896329549
"ENST00000370501.4",-2.06025465978185,6.8100480720567,-31.1332037644078,9.44542946877749e-08,0.00010990650673494,8.8580612239886
"ENST00000272462.3",-2.57720282640598,6.67367904403319,-31.1725281233944,9.37596388122131e-08,0.00010990650673494,8.77837560126408
"ENST00000260356.6",3.26651497078769,6.10687435782819,33.5984083535631,6.04810990394143e-08,0.000100808822644143,8.74275094911844
"ENST00000368468.4",-2.2473775636917,6.49172990824721,-30.6612338979755,1.03279263445356e-07,0.000117012687608234,8.67227027905166
"ENST00000253039.9",1.2941384995291,7.9918034566598,29.4547385776261,1.30594461618848e-07,0.000138689442948684,8.66946859426719
"ENST00000413699.7",-1.35819386199195,8.23894955105273,-29.3798645241846,1.32551487398617e-07,0.000138689442948684,8.63579970190722
"ENST00000542104.6",-2.0555076403851,6.36112858414714,-29.9499400204805,1.18469072870042e-07,0.000130780743442921,8.53548556226517
"ENST00000368719.9",-1.424338558734,8.5898759851445,-29.1000584009935,1.4017483201119e-07,0.000140347605641343,8.53033341871447
"ENST00000278505.5",-2.45897874499518,5.61065821591966,-33.1769589333534,6.51177527401684e-08,0.000100808822644143,8.51837982514446
"ENST00000329214.13",1.21363638947571,6.73500708537869,28.0463589374444,1.73876935207493e-07,0.000149718473829764,8.34445918959608
"ENST00000244869.3",-1.53804624233054,9.27155400185847,-28.59997621706,1.55115197599186e-07,0.000145177708744299,8.2752249725242
"ENST00000434127.3",-1.32602786728568,6.96859727208585,-27.560028961111,1.92577891387279e-07,0.000156435018073519,8.27196067586855
"ENST00000291295.14",-1.86951481342451,7.56707671978644,-27.383827736871,1.99926745144868e-07,0.000156499021067673,8.25725932081702
"ENST00000393203.3",-1.92139766925617,6.36596691461434,-28.1388294838724,1.70566018513784e-07,0.000149718473829764,8.24734206700883
"ENST00000225777.8",-1.76928880174421,6.8369895523264,-27.4691928750104,1.96326222440703e-07,0.000156499021067673,8.22746776129922
"ENST00000376112.4",-2.90540489343581,6.36264869283356,-28.3761320503547,1.62401120899827e-07,0.00014876288208724,8.19233832111811
"ENST00000296677.5",-1.03330355902641,7.60017144676499,-26.9151315870671,2.2112719049363e-07,0.000162718885349547,8.15037309716869
"ENST00000344423.10",-1.86776366233458,5.74423437457539,-28.7922783898215,1.49159645033779e-07,0.000145177708744299,8.13232490242736
"ENST00000519948.4",-1.49326338552293,6.4299852819263,-27.2666359565753,2.04996143229275e-07,0.000157601767043749,8.1283798576797
"ENST00000228506.8",-0.87258834900171,8.28045756369824,-26.8764664855775,2.229905984629e-07,0.000162718885349547,8.06649053791229
"ENST00000296585.10",-2.1519091254248,5.99195674293462,-27.8303974099781,1.81906473673347e-07,0.000150608065597281,8.05262236398872
"ENST00000249822.9",-1.61456426444486,7.43694987158718,-26.2085212577654,2.58269673910201e-07,0.00017410617461069,8.00133870623382
"ENST00000303538.13",-1.01696749906687,7.91126884921855,-26.1990359033291,2.5881576603452e-07,0.00017410617461069,7.96185251854623
"ENST00000445961.5",3.5777444307941,5.27664063526507,32.3783618425027,7.50947487845471e-08,0.000100808822644143,7.94473753588922
"ENST00000425542.5",-1.52398035469983,7.73852123162592,-25.9570775144217,2.73213050966944e-07,0.00017456689956299,7.93005064594135
"ENST00000450894.7",-2.36880536446087,7.17294364184486,-25.8517077204905,2.79774161383661e-07,0.00017456689956299,7.91123663621766
"ENST00000373548.8",-1.18595165179055,7.65758885555057,-25.8255827269604,2.81429276211397e-07,0.00017456689956299,7.9004435026654
"ENST00000303575.9",-1.00779895940326,7.64556448349993,-25.7416089743144,2.86827368997491e-07,0.00017456689956299,7.87952572367286
"ENST00000382592.5",2.99371602915564,5.4245596672554,29.2769615250277,1.35297345222046e-07,0.000138689442948684,7.86470775393256
"ENST00000422840.7",-1.78078562681752,7.11286433706487,-25.4887841408954,3.03825550927569e-07,0.00017456689956299,7.83615360904249
"ENST00000276682.8",-1.34598321366909,7.40608024936698,-25.3841566628284,3.11202568612111e-07,0.00017456689956299,7.81246120838446
"ENST00000308508.5",-2.77204838601245,4.85728177913105,-32.296199298626,7.62192555839477e-08,0.000100808822644143,7.78037430464152
"ENST00000396654.7",-1.42590781927026,6.55787988889305,-25.3642840587954,3.12627283342123e-07,0.00017456689956299,7.77048518290753
"ENST00000262225.8",-1.20826988672625,8.00722444202112,-25.4302706828749,3.07925678009845e-07,0.00017456689956299,7.77016350740133
"ENST00000334660.10",-1.89003826429803,6.25339382184019,-25.4496586785945,3.06560008518346e-07,0.00017456689956299,7.71809266334063
"ENST00000368811.8",-1.32038792010847,6.55250009382448,-25.1096152756805,3.31577044819242e-07,0.000178442331382535,7.71768875456183
"ENST00000369110.8",-2.22084641516558,5.59267279980784,-26.7136381038696,2.31042025407912e-07,0.000165784205331447,7.69689388589835
"ENST00000379757.9",0.705440446443864,8.72387674634675,25.5946996187444,2.96565035242778e-07,0.00017456689956299,7.65441514745632
"ENST00000375286.7",1.22171134165053,6.45325495860726,24.8470678334999,3.5253407203777e-07,0.00018509328540783,7.65382170085695
