"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000413699.7",-0.967254840940457,-0.838017805293539,-0.911582038397418,0.740568925851363,1.11034636511036,0.865939393669689,"ENST00000413699"
"ENST00000542104.6",-0.975100470539858,-0.924364530155048,-0.819203471280447,0.727755009909513,1.07336500793712,0.91754845412872,"ENST00000542104"
"ENST00000368719.9",-0.973547265163291,-0.906621043649063,-0.802443790482663,0.597130908938271,1.20879291938107,0.876688270975674,"ENST00000368719"
"ENST00000278505.5",-0.95832444780721,-0.893081696508302,-0.870761807906044,0.7534393165352,1.08480381655334,0.883924819133016,"ENST00000278505"
"ENST00000329214.13",0.685452291318471,0.885647231196734,1.13585961746221,-0.987017745301975,-0.826030768652061,-0.893910626023381,"ENST00000329214"
"ENST00000244869.3",-0.962978051665993,-0.892279089520573,-0.848197304183107,0.769255604884067,1.18476414944454,0.749434691041064,"ENST00000244869"
"ENST00000434127.3",-0.939307492240411,-0.894076476192755,-0.88866183094634,0.763366154637662,1.09695780260686,0.861721842134982,"ENST00000434127"
"ENST00000291295.14",-0.982913009404917,-0.913470302481029,-0.804666166504196,0.632610700570661,1.11343616630271,0.955002611516773,"ENST00000291295"
"ENST00000393203.3",-0.942535393076278,-0.925113695048543,-0.831311767355174,0.668179048200251,1.18303906892361,0.847742738356129,"ENST00000393203"
"ENST00000225777.8",-0.972704242104317,-0.873200692814252,-0.864189339609636,0.650885900774686,1.04860120862304,1.01060716513048,"ENST00000225777"
"ENST00000376112.4",-0.897257578305731,-0.913462667893415,-0.894858955427733,0.627966538739195,1.09865230105359,0.978960361834097,"ENST00000376112"
"ENST00000296677.5",-1.02593459408478,-0.925368648499267,-0.750447314241465,0.66318052985298,1.09100533477339,0.947564692199136,"ENST00000296677"
"ENST00000344423.10",-0.920885737099694,-0.923097857846165,-0.868090359671324,0.694919637227803,1.12880581419277,0.888348503196609,"ENST00000344423"
"ENST00000519948.4",-0.970396632028276,-0.858753091562501,-0.880743485896669,0.70763961254822,1.14237279284677,0.859880804092458,"ENST00000519948"
"ENST00000228506.8",-1.07830200560038,-0.899106784211697,-0.700299418598626,0.62726882473606,1.17156771550922,0.878871668165419,"ENST00000228506"
"ENST00000296585.10",-0.927202592438654,-0.930625957251769,-0.872038575450112,0.871403242707017,1.04647483148302,0.811989050950497,"ENST00000296585"
"ENST00000249822.9",-0.990424149062801,-0.874410705196771,-0.843612647868786,0.798225412645658,1.15653795329526,0.753684136187443,"ENST00000249822"
"ENST00000303538.13",-1.01525420275101,-0.916972817975431,-0.789321951562936,0.780404952318958,1.0491171210172,0.892026898953223,"ENST00000303538"
"ENST00000445961.5",0.761160941461788,0.994074600132783,0.974210422002582,-0.90444863187153,-0.916293802770754,-0.908703528954869,"ENST00000445961"
"ENST00000425542.5",-0.987903264276969,-0.943897693783063,-0.777980919026816,0.672972108315895,1.03659139147983,1.00021837729112,"ENST00000425542"
"ENST00000450894.7",-0.91774509750035,-0.956935872867414,-0.829057462081124,0.674807332928727,1.15770617934319,0.871224920176967,"ENST00000450894"
"ENST00000373548.8",-1.00278374234569,-0.930013249980414,-0.7481249476453,0.61114950013254,1.199698986094,0.870073453744864,"ENST00000373548"
"ENST00000303575.9",-1.05426976315046,-0.913293700176344,-0.723232371407745,0.656536779594337,1.14202813845655,0.892230916683659,"ENST00000303575"
"ENST00000382592.5",0.827176975370276,0.937748092813134,0.969951744233824,-0.906159390434239,-0.879921564651011,-0.948795857331985,"ENST00000382592"
"ENST00000422840.7",-0.928144014690295,-0.956187486982332,-0.850217367525564,0.877172366367222,0.987973615285178,0.869402887545791,"ENST00000422840"
"ENST00000276682.8",-1.01876927803798,-0.905257226397513,-0.783400077376295,0.665061933811146,1.04319115679365,0.999173491206999,"ENST00000276682"
"ENST00000308508.5",-0.939147167142982,-0.901631301611305,-0.886624955398634,0.764073127995156,1.04419159063168,0.919138705526087,"ENST00000308508"
"ENST00000396654.7",-0.98919092303704,-0.89846731747075,-0.841649754007821,0.832351898371373,1.03170241567199,0.86525368047225,"ENST00000396654"
"ENST00000262225.8",-1.02860958127135,-0.951657327254649,-0.729626259330685,0.731263671120734,1.06587284107112,0.912756655664829,"ENST00000262225"
"ENST00000334660.10",-0.937995813348236,-0.911144165507805,-0.856829764379313,0.781774769886667,1.17818540872741,0.746009564621274,"ENST00000334660"
"ENST00000368811.8",-0.976097941438222,-0.890458680804045,-0.82233177509955,0.63004716661564,1.2050815947139,0.85375963601228,"ENST00000368811"
"ENST00000369110.8",-0.953326523638662,-0.88881478074852,-0.871320137043924,0.664117177274374,1.0472604251171,1.00208383903963,"ENST00000369110"
"ENST00000379757.9",0.518464542474321,0.869076929352212,1.24414778309471,-1.04316223642553,-0.596653277813139,-0.991873740682576,"ENST00000379757"
"ENST00000375286.7",0.775690287985895,0.873779399344393,1.07256566647747,-0.982451811609955,-0.814429251191274,-0.925154291006528,"ENST00000375286"
"ENST00000494445.1",0.882077527549261,0.849630542036756,1.00328409889277,-0.919107513599822,-0.905593618032408,-0.910291036846551,"ENST00000494445"
"ENST00000233143.6",-1.04016146661765,-0.977185704353043,-0.657707539606194,0.606407059109745,1.14205483477611,0.926592816691028,"ENST00000233143"
"ENST00000278742.6",-1.02795262817631,-0.911386291556305,-0.759498665573239,0.660353646615131,1.12430118130034,0.914182757390387,"ENST00000278742"
"ENST00000373418.7",-0.902079409248994,-0.89516638013347,-0.90803419670494,0.639566417664291,1.12712319634899,0.938590372074122,"ENST00000373418"
"ENST00000380635.5",-0.917436671373659,-0.916736864430509,-0.869716502678876,0.664528663728684,1.16180902206794,0.877552352686425,"ENST00000380635"
"ENST00000352645.5",-0.959311791076783,-0.91650152236609,-0.826632718338509,0.641993047423328,1.13399515955768,0.926457824800378,"ENST00000352645"
"ENST00000343411.8",-1.03656561045502,-0.892896887414992,-0.752999985587627,0.615262641498645,1.18534344481184,0.881856397147158,"ENST00000343411"
"ENST00000002596.6",-0.95011714543147,-0.918100555567417,-0.845930595333717,0.699635619896131,1.10762950523322,0.906883171203256,"ENST00000002596"
"ENST00000370990.5",0.613302254058502,0.87338217133925,1.19385036522829,-1.04034913048819,-0.755461490034347,-0.884724170103501,"ENST00000370990"
"ENST00000394936.8",-1.05713804413508,-0.952351384470265,-0.669050483265864,0.606566682256863,1.11783334607422,0.954139883540127,"ENST00000394936"
"ENST00000376745.9",-0.938488150875806,-0.905944536059709,-0.892555049080938,0.873832899779743,0.895570030155613,0.967584806081096,"ENST00000376745"
"ENST00000630827.1",-0.926007347096146,-0.904253765167563,-0.878630295403958,0.717624246983514,1.16189739606031,0.829369764623842,"ENST00000630827"
"ENST00000326005.10",-0.978811964229934,-0.914437093402308,-0.824010168136913,0.745898663987204,1.10239175094584,0.868968810836116,"ENST00000326005"
"ENST00000221130.11",-1.02991962066351,-0.937673307914804,-0.724055292498906,0.703454137876985,1.17364187676436,0.814552206435874,"ENST00000221130"
"ENST00000630114.2",0.761123768423535,0.844778466905107,1.10774712742445,-0.989954767372858,-0.777099783976301,-0.946594811403929,"ENST00000630114"
"ENST00000415136.6",-1.07159344753367,-0.865407141354691,-0.710368948514469,0.494406958340154,1.2107789924238,0.942183586638877,"ENST00000415136"
"ENST00000257527.9",-0.937599537130449,-0.924968419250008,-0.868054012005829,0.791518362864219,1.02083556421581,0.918268041306262,"ENST00000257527"
"ENST00000316788.12",-1.06611214359189,-0.857355979518579,-0.741185585293106,0.558467534942542,1.209767053297,0.896419120164031,"ENST00000316788"
"ENST00000368149.3",-1.03909920377045,-0.943836583100142,-0.709663167233574,0.652152201697137,1.11720164519935,0.923245107207675,"ENST00000368149"
"ENST00000354675.10",-1.11435315281416,-0.775164321979961,-0.769568710248585,0.566971535328465,1.21214878957103,0.87996586014321,"ENST00000354675"
"ENST00000320785.10",-1.01856532335279,-0.947079676366749,-0.724536581949216,0.627250034261715,1.12976536670551,0.933166180701527,"ENST00000320785"
"ENST00000372013.8",-0.922613138205489,-0.975831060048939,-0.820206770705509,0.743108574341238,1.08828329363577,0.887259100982929,"ENST00000372013"
"ENST00000420282.6",-0.982338373503247,-0.92168932843841,-0.80919846197543,0.685443356263916,1.0634585238212,0.964324283831973,"ENST00000420282"
"ENST00000463740.5",0.855636416591791,0.879024318136132,1.0002423789961,-0.934342956143316,-0.919155376924688,-0.881404780656022,"ENST00000463740"
"ENST00000379731.5",-0.924797673654271,-0.930214357607935,-0.846255756326148,0.658975714189544,1.16875067443674,0.87354139896207,"ENST00000379731"
"ENST00000269886.7",-0.864372903424274,-0.946331858903069,-0.902185126536657,0.729351313306034,1.14044933943772,0.843089236120242,"ENST00000269886"
"ENST00000292807.9",-0.912893744544294,-0.972733117349785,-0.818499561352615,0.630827024893722,1.07693511034964,0.996364288003329,"ENST00000292807"
"ENST00000400335.9",-0.954807964299185,-0.928533662010846,-0.825677296811041,0.692844444034015,1.13440193121595,0.881772547871109,"ENST00000400335"
"ENST00000527958.6",0.581408385669517,0.982888671569819,1.12453609908545,-0.943508384027904,-0.777727252770368,-0.967597519526517,"ENST00000527958"
"ENST00000370982.4",-0.935435014774749,-0.896770023808584,-0.861198232119712,0.705507201829289,1.2236180807759,0.764277988097859,"ENST00000370982"
"ENST00000258149.11",0.801172500440818,0.772684948622118,1.137518655864,-0.986003695721543,-0.80579315111001,-0.919579258095384,"ENST00000258149"
"ENST00000360001.12",-0.89191212178053,-0.963245652869763,-0.853704816278751,0.668102341270192,1.11817258161004,0.922587668048808,"ENST00000360001"
"ENST00000271638.3",-1.03406438306214,-0.894492985310975,-0.791106764754559,0.752794128887919,1.02676761336242,0.94010239087733,"ENST00000271638"
"ENST00000308580.12",-1.00411530661998,-0.855053107270598,-0.850772529107302,0.786273497698942,1.14669651668808,0.776970928610861,"ENST00000308580"
"ENST00000246672.4",-1.01372934311386,-0.894293595052447,-0.783704939440026,0.611923894388732,1.14274944132835,0.937054541889251,"ENST00000246672"
"ENST00000355937.9",-0.981982950365857,-0.883923691443826,-0.838764881392068,0.695629281938911,1.16078436832322,0.848257872939623,"ENST00000355937"
"ENST00000372919.8",-0.935981871678928,-0.901006284286756,-0.867173937252122,0.638897936877599,1.13083183029955,0.934432326040658,"ENST00000372919"
"ENST00000530275.3",-0.924352739678976,-0.914237574536876,-0.88301420348414,0.739002103509974,1.08760102804491,0.895001386145112,"ENST00000530275"
"ENST00000209875.9",-0.959808460864761,-0.840542872835398,-0.908710822325232,0.761637669196232,1.16103153456936,0.786392952259802,"ENST00000209875"
"ENST00000162391.8",-0.974274116847321,-0.887151775369787,-0.855447783167816,0.691003210206934,1.04757448500838,0.97829598016961,"ENST00000162391"
"ENST00000338825.5",-0.925202403155154,-0.930993967494154,-0.86439097759566,0.702227176103677,1.00338852173165,1.01497165040964,"ENST00000338825"
"ENST00000261313.3",-1.00534356761036,-0.899868423025593,-0.754577583306127,0.526771975383261,1.23645445404556,0.896563144513253,"ENST00000261313"
"ENST00000402676.7",-0.948205985952473,-0.964101816244989,-0.81852405979002,0.917340441086911,0.994900143034138,0.818591277866433,"ENST00000402676"
"ENST00000371666.8",-0.963753752752373,-0.839910462746573,-0.91638764677058,0.75160756200882,1.09299344824609,0.87545085201462,"ENST00000371666"
"ENST00000612463.1",0.694284827254322,1.05632920233909,0.968383200294205,-0.910729710064783,-0.907798176663287,-0.900469343159546,"ENST00000612463"
"ENST00000287667.12",-1.10160817651971,-0.831437481618132,-0.747809279943817,0.649521698658246,1.1752232218851,0.856110017538308,"ENST00000287667"
"ENST00000605930.3",-1.00978375934335,-0.848269041301401,-0.843878022992045,0.675545663526329,1.15313171536031,0.873253444750151,"ENST00000605930"
"ENST00000361204.9",-0.967822311915761,-0.964486045522748,-0.776626654415447,0.668255134036905,1.0446871581646,0.99599271965245,"ENST00000361204"
"ENST00000330899.5",0.482637282001942,0.772157235152748,1.34380118432687,-1.11854303794142,-0.64354741160774,-0.836505251932405,"ENST00000330899"
"ENST00000467020.5",0.928557933201418,0.793311330419098,1.00772636955205,-0.957401486787168,-0.831456389251064,-0.940737757134334,"ENST00000467020"
"ENST00000341446.9",-1.03370456604382,-0.920631441348269,-0.728462657097888,0.695860382897258,1.21147285250766,0.775465429085068,"ENST00000341446"
"ENST00000256495.4",-0.932414076643051,-0.890960183042132,-0.858388469003244,0.595222539004186,1.22880759195701,0.857732597727228,"ENST00000256495"
"ENST00000237654.9",-1.03785535733212,-0.888250053977174,-0.768811840966319,0.695598799750873,1.17329911876801,0.826019333756728,"ENST00000237654"
