"","SRR8832553_OE","SRR8832554_OE","SRR8832555_OE","SRR8832550_CTL","SRR8832551_CTL","SRR8832552_CTL"
"YBX2",-0.912045675696707,-0.780317913489179,-1.00637519447609,1.13223136067734,0.920302972781462,0.64620445020318
"GPRC5A",-0.80726523283163,-0.860903306356931,-1.00505617261469,0.612991884424595,0.807639753138872,1.25259307423978
"APPBP2",-0.932383786719072,-0.877850982465973,-0.923291104395569,0.814010605389302,0.996424821708749,0.923090446482559
"TRIP13",-1.0298766250019,-0.814751778512141,-0.87098087269691,0.799902140434977,0.812740427927863,1.10296670784811
"UNC13D",-0.994516871533612,-0.946844344290894,-0.765288125768,1.06371669909395,0.975818215719146,0.667114426779407
"MYBL2",-0.960943858465123,-0.890751211137559,-0.851848848409825,0.933476175327262,0.64053945070387,1.12952829198137
"CCL22",-0.797898717003673,-0.733755053372253,-1.06886577455561,0.956647198894365,1.27809135870264,0.365780987334522
"CDIPT",-0.968173432539768,-0.869744791326067,-0.896756245895362,0.833937152186982,0.941421901674891,0.959315415899324
"TNFRSF10A",-0.874355673533332,-0.892819638482963,-0.938355552041584,1.17244577433194,0.830025091019948,0.703059998705993
"TGFB1",-0.903156114498456,-0.899135754114217,-0.924704438045336,1.06837205004747,0.873184563533475,0.785439693077062
"PIK3R2",-0.715314669474655,-1.00162884567859,-0.876276051293549,1.10259531924991,1.18718772819258,0.303436519004305
"FKBP14",1.15408178424776,0.826316750084843,0.724916401083773,-0.968807846198625,-0.95033581105149,-0.786171278166259
"DNAJC12",0.688893404957484,0.905296701601526,1.10034144911587,-1.08097221055882,-0.918190295765502,-0.695369049350559
"DTX4",-0.803958168687293,-0.912005438671962,-1.01192147926101,1.01716828422122,0.856932442687585,0.853784359711458
"ELK3",-0.982887504178044,-0.786964626767179,-0.828562782313272,0.800036466372622,1.384452904072,0.413925542813879
"GOLT1B",-0.912724377478754,-0.703511315678053,-1.01558214902372,0.477539310054881,1.29172858128718,0.862549950838461
"ADGRG6",-1.11957336706755,-0.905007733765312,-0.646713771301111,1.02086603118696,1.05450969129395,0.595919149653062
"TMEM30A",-0.750556152873578,-0.869958891063424,-1.02831183358282,0.587411090372085,0.754444930698126,1.30697085644961
"LNPEP",-0.982825273972212,-0.760364156725805,-0.892691768511344,1.00665979018004,1.21364522899539,0.415576180033927
"GNB4",-1.05729715241273,-0.679414455344185,-0.951371495393053,1.15784416858293,0.809797705660545,0.72044122890649
"ELL2",0.897712701984334,0.832542398612062,1.00303343736725,-0.856834907074951,-0.948321623830304,-0.928132007058386
"AHR",0.558222851086671,1.10878480399815,0.985471805188155,-0.898046184449128,-0.61045474121002,-1.14397853461383
"RNF11",0.90996652421339,0.904398075984667,0.920534660480855,-0.992823868798668,-0.829035232524722,-0.913040159355521
"SLC22A5",-0.857919397411062,-0.704222709851309,-1.12447599128212,0.990978273444698,0.64292569492293,1.05271413017687
"DLGAP5",-0.943751337026681,-1.11387532762938,-0.639366076929221,0.745804156073202,0.97971137294984,0.971477212562244
"SGPP1",-0.952253833874438,-0.83876903778245,-0.908605835377519,0.745653307655691,1.19959249202364,0.754382907355074
"KLF2",-0.884455337833529,-0.865257838788829,-0.922522173546097,0.557873002074688,1.24630297493976,0.86805937315401
"SYNGR3",-0.812802678260004,-1.07690064424683,-0.821771283034959,0.718955453037661,1.03065097788629,0.961868174617838
"HSPB1",-0.748585033845608,-0.95294856499493,-0.966707070526552,0.845911343891524,0.578765179884724,1.24356414559084
"CDC42EP1",-0.816936004732779,-0.977886264630739,-0.938923245525865,0.919334258228235,0.949381297427604,0.865029959233542
"LIF",-0.816448018915505,-0.987935207816505,-0.873174503170672,1.00062847883797,1.1447812390047,0.532148012060006
"VGF",1.04012825204207,0.746389712180481,0.938613654454956,-0.853201162463384,-0.93236075547663,-0.939569700737492
"TMOD2",-1.00021383866076,-0.890813196361289,-0.837539984830051,1.00093502136398,0.935662439162945,0.791969559325171
"DHRS2",-0.96737802200882,-0.82379754277152,-0.937176271341019,0.966259708774722,0.778342972036925,0.983749155309711
"FMO5",0.735738232473621,0.740788994482952,1.19973208467812,-0.979301896678132,-1.03781888414189,-0.659138530814672
"DNAJB1",-0.985755881266421,-0.798541246261588,-0.897529314652862,0.879245714202944,0.595237522535522,1.20734320544241
"IPO8",-0.975008955969946,-0.707077864808052,-0.988535661095084,1.01477256574049,1.12076693171633,0.535082984416265
"TTC9",-0.873905451389316,-0.843516747600225,-0.942970687273614,1.14279943643218,1.05715854393565,0.46043490589532
"EIF2S1",-0.996881163333918,-0.935575388566675,-0.792558659399584,1.001244938318,0.77646263830377,0.94730763467841
"NT5E",-0.891989906734274,-0.97799337955877,-0.865086514171689,0.93228894029513,0.849736796484971,0.953044063684631
"PRRG4",-0.9039201892254,-0.896009125329483,-0.908023510279107,0.688976872955895,1.15572094933819,0.863255002539904
"PNKD",-0.944076565917662,-0.907165485631229,-0.770646711245721,0.969738599876282,1.26578000143686,0.386370161481471
"ALPK3",-0.870207145614147,-0.802083266669929,-1.02958195988448,0.900624124056184,1.13083218911333,0.670416058999041
"HS6ST1",0.795002450262704,0.69634850295478,1.20655386821027,-0.919302804011614,-0.904588519522244,-0.874013497893893
"IER3",0.98216452872475,0.701817460549387,1.03069469881122,-1.03039536884607,-0.855503502069882,-0.828777817169406
"THBS1",-0.861582549305766,-0.950128093211278,-0.890233892648872,1.11761189046432,0.96290652171946,0.621426122982136
"HAUS2",-0.694349016950049,-1.03839306133669,-0.977439627704248,0.945843826920969,0.753393075459926,1.01094480361009
